date,year,stack_position,country,report_name,url,paragraph_text,hover_label,hover_label_plain,mention_count
2022-01-01,2022,1,Afghanistan,Afghanistan Education Sector Transitional Framework,http://planipolis.iiep.unesco.org/en/2022/afghanistan-education-sector-transitional-framework,...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...,Country: Afghanistan<br>Report Name: Afghanistan Education Sector Transitional Framework<br>Text Excerpt: ...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...,"Country: Afghanistan
Report Name: Afghanistan Education Sector Transitional Framework
Text Excerpt: ...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...",1
2011-01-01,2011,1,Bangladesh,Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes,http://planipolis.iiep.unesco.org/en/2011/third-primary-education-development-programme-pedp3-1-main-document-2-implementation-guide-3,...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...,Country: Bangladesh<br>Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes<br>Text Excerpt: ...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...,"Country: Bangladesh
Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes
Text Excerpt: ...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...",1
2025-01-01,2025,1,Cambodia,"Education strategic plan 2024-2028 (Second edition, February 2025)",http://planipolis.iiep.unesco.org/en/2024/education-strategic-plan-2024-2028,...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...,"Country: Cambodia<br>Report Name: Education strategic plan 2024-2028 (Second edition, February 2025)<br>Text Excerpt: ...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...","Country: Cambodia
Report Name: Education strategic plan 2024-2028 (Second edition, February 2025)
Text Excerpt: ...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...",1
2010-01-01,2010,1,China,Outline of China’s National Plan for Medium and Long-term Education Reform and Development,http://planipolis.iiep.unesco.org/en/2010/outline-chinas-national-plan-medium-and-long-term-education-reform-and-development,...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...,Country: China<br>Report Name: Outline of China’s National Plan for Medium and Long-term Education Reform and Development<br>Text Excerpt: ...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...,"Country: China
Report Name: Outline of China’s National Plan for Medium and Long-term Education Reform and Development
Text Excerpt: ...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...",1
2017-01-01,2017,1,Djibouti,Plan d'action de l'éducation 2017-2019,http://planipolis.iiep.unesco.org/en/2017/plan-daction-de-l%C3%A9ducation-2017-2019-6820,...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...,Country: Djibouti<br>Report Name: Plan d'action de l'éducation 2017-2019<br>Text Excerpt: ...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...,"Country: Djibouti
Report Name: Plan d'action de l'éducation 2017-2019
Text Excerpt: ...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...",1
2006-01-01,2006,1,Grenada,Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework,http://planipolis.iiep.unesco.org/en/2006/strategic-plan-educational-enhancement-and-development-2006-2015-speed-ii-volume-1-strategic,...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...,Country: Grenada<br>Report Name: Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework<br>Text Excerpt: ...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...,"Country: Grenada
Report Name: Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework
Text Excerpt: ...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...",1
2018-01-01,2018,1,Jordan,Education strategic plan 2018-2022,http://planipolis.iiep.unesco.org/en/2018/education-strategic-plan-2018-2022-6461,...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...,Country: Jordan<br>Report Name: Education strategic plan 2018-2022<br>Text Excerpt: ...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...,"Country: Jordan
Report Name: Education strategic plan 2018-2022
Text Excerpt: ...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...",1
2021-01-01,2021,1,Lebanon,Lebanon five-year general education plan 2021-2025,http://planipolis.iiep.unesco.org/en/2021/lebanon-five-year-general-education-plan-2021-2025-7480,...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...,Country: Lebanon<br>Report Name: Lebanon five-year general education plan 2021-2025<br>Text Excerpt: ...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...,"Country: Lebanon
Report Name: Lebanon five-year general education plan 2021-2025
Text Excerpt: ...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...",1
2022-01-01,2022,2,Nepal,School education sector plan 2022/23-2031/32,http://planipolis.iiep.unesco.org/en/2022/school-education-sector-plan-202223-203132-7469,...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...,Country: Nepal<br>Report Name: School education sector plan 2022/23-2031/32<br>Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...,"Country: Nepal
Report Name: School education sector plan 2022/23-2031/32
Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...",1
2023-01-01,2023,1,Nepal,Recovery and Accelerated Learning (ReAL) Plan (2023-2028),http://planipolis.iiep.unesco.org/en/2023/recovery-and-accelerated-learning-real-plan-2023-2028,...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...,Country: Nepal<br>Report Name: Recovery and Accelerated Learning (ReAL) Plan (2023-2028)<br>Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...,"Country: Nepal
Report Name: Recovery and Accelerated Learning (ReAL) Plan (2023-2028)
Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...",1
