doc_id,title,country,year,languages,resource_type,planipolis_page_url,document_url,local_filename,source_row_number,word_count,text_chars
nep_432e23d0fd,Strategic action plan for the development of higher education in Afghanistan,Afghanistan,2004,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2004/strategic-action-plan-development-higher-education-afghanistan-4635,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_higher_education_strategic_plan.pdf,afghanistan_higher_education_strategic_plan.pdf,22,60104,381912
nep_a1e0127c90,Ministry of Higher Education strategic development plan,Afghanistan,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/ministry-higher-education-strategic-development-plan,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_mohe_strategic_plan.pdf,afghanistan_mohe_strategic_plan.pdf,21,6010,40924
nep_245395ec4a,Education sector strategy for the Afghanistan National Development Strategy (with focus on prioritization): draft,Afghanistan,2007,"English,Dari",National Education Plans,http://planipolis.iiep.unesco.org/en/2007/education-sector-strategy-afghanistan-national-development-strategy-focus-prioritization-draft,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_strategy_dari.pdf,afghanistan_moe_strategy_dari.pdf,19,14059,78187
nep_d2fcb4987b,Education sector strategy for the Afghanistan National Development Strategy (with focus on prioritization): draft,Afghanistan,2007,"English,Dari",National Education Plans,http://planipolis.iiep.unesco.org/en/2007/education-sector-strategy-afghanistan-national-development-strategy-focus-prioritization-draft,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_strategy_english.pdf,afghanistan_moe_strategy_english.pdf,18,13254,87745
nep_b21ae0f728,National education strategic plan for Afghanistan 1385-1389 [2007-2011],Afghanistan,2007,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2007/national-education-strategic-plan-afghanistan-1385-1389-2007-2011-3718,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_national_education_strategic_plan.pdf,afghanistan_nesp_national_education_strategic_plan.pdf,20,56544,358979
nep_264103e563,National higher education strategic plan 2010-2014,Afghanistan,2009,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2009/national-higher-education-strategic-plan-2010-2014-4863,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_hesp_2010-2014.pdf,afghanistan_hesp_2010-2014.pdf,17,24577,140673
nep_0fa0252afb,National Education Strategic Plan for Afghanistan 1389-1393/2010-2014 - draft (NESP II),Afghanistan,2010,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/national-education-strategic-plan-afghanistan-1389-13932010-2014-draft-nesp-ii-4988,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_ii_2010-2014_draft_dari.pdf,afghanistan_nesp_ii_2010-2014_draft_dari.pdf,15,46442,186180
nep_f522a3529c,National Education Strategic Plan for Afghanistan 1389-1393/2010-2014 - draft (NESP II),Afghanistan,2010,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/national-education-strategic-plan-afghanistan-1389-13932010-2014-draft-nesp-ii-4988,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_ii_2010-2014_draft_pashto.pdf,afghanistan_nesp_ii_2010-2014_draft_pashto.pdf,16,86948,385824
nep_dad1c6ad84,National Education Interim Plan 1390-1392/2011-2013 NEIP,Afghanistan,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/national-education-interim-plan-1390-13922011-2013-neip-5133,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_neip.pdf,afghanistan_neip.pdf,13,59625,382895
nep_6b127adb5f,Proposal to the Global Partnership for Education (GPE) for a catalytic contribution towards implementation of Afghanistan’s Education Interim Plan (EIP): programme document,Afghanistan,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/proposal-global-partnership-education-gpe-catalytic-contribution-towards-implementation,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan-program-document.pdf,afghanistan-program-document.pdf,14,43525,284489
nep_198fb57765,National Literacy Action Plan 1391- 1394 [2012-2015] (NLAP),Afghanistan,2012,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2012/national-literacy-action-plan-1391-1394-2012-2015-nlap-6279,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nlap_2012-2015.pdf,afghanistan_nlap_2012-2015.pdf,12,29681,201754
