doc_id,title,country,year,languages,resource_type,planipolis_page_url,document_url,local_filename,rights_publication_mode,source_row_number,rights_signal_class,rights_signal_name,rights_confidence,rights_evidence_location,rights_evidence_pages,rights_evidence_snippet
nep_432e23d0fd,Strategic action plan for the development of higher education in Afghanistan,Afghanistan,2004,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2004/strategic-action-plan-development-higher-education-afghanistan-4635,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_higher_education_strategic_plan.pdf,afghanistan_higher_education_strategic_plan.pdf,snippet_search_ok,22,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_a1e0127c90,Ministry of Higher Education strategic development plan,Afghanistan,2005,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2005/ministry-higher-education-strategic-development-plan,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_mohe_strategic_plan.pdf,afghanistan_mohe_strategic_plan.pdf,snippet_search_ok,21,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_245395ec4a,Education sector strategy for the Afghanistan National Development Strategy (with focus on prioritization): draft,Afghanistan,2007,"English,Dari",National Education Plans,http://planipolis.iiep.unesco.org/en/2007/education-sector-strategy-afghanistan-national-development-strategy-focus-prioritization-draft,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_strategy_dari.pdf,afghanistan_moe_strategy_dari.pdf,snippet_search_ok,19,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_d2fcb4987b,Education sector strategy for the Afghanistan National Development Strategy (with focus on prioritization): draft,Afghanistan,2007,"English,Dari",National Education Plans,http://planipolis.iiep.unesco.org/en/2007/education-sector-strategy-afghanistan-national-development-strategy-focus-prioritization-draft,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_moe_strategy_english.pdf,afghanistan_moe_strategy_english.pdf,snippet_search_ok,18,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_b21ae0f728,National education strategic plan for Afghanistan 1385-1389 [2007-2011],Afghanistan,2007,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2007/national-education-strategic-plan-afghanistan-1385-1389-2007-2011-3718,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_national_education_strategic_plan.pdf,afghanistan_nesp_national_education_strategic_plan.pdf,snippet_search_ok,20,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_264103e563,National higher education strategic plan 2010-2014,Afghanistan,2009,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2009/national-higher-education-strategic-plan-2010-2014-4863,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_hesp_2010-2014.pdf,afghanistan_hesp_2010-2014.pdf,snippet_search_ok,17,copyright_notice,copyright_notice,low,ocr_full_text,,= aa JS] als]< —_ 7|5|S]2| 3 “| ol/o|/= ir) Slee a | | S| 36 = Sl S)i5 = a mle =IHRE jet | a1 |< =/s|SI- oo] All bt c 5/22 |5|41F a Oo i | + | i | i in wie Atel babel = eal ma rm — 2 a el S| Ai|c S| — ai = sted kab et olz S14 |= |5 : = B= 51% 7c 5 |2/2|2 fm | © ALARA I ARAAl =] = Z| v6 | 60 | 0 — 20 | fa] | —| = fw | = e~ 4|—|5|= ~ == cif |S = bead Dal ba or Ale S/SIEI¢ eleajale|TM oat — seed Ramet fom ZI. fad fl bed ij—|— Ar feni| = = hed al wit = |= 3) E/z/2 cl wad [= <3 |3|=|* od bod ad be = 5} |=(A/FI6 pol bd A © 4
nep_0fa0252afb,National Education Strategic Plan for Afghanistan 1389-1393/2010-2014 - draft (NESP II),Afghanistan,2010,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/national-education-strategic-plan-afghanistan-1389-13932010-2014-draft-nesp-ii-4988,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_ii_2010-2014_draft_dari.pdf,afghanistan_nesp_ii_2010-2014_draft_dari.pdf,snippet_search_ok,15,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_f522a3529c,National Education Strategic Plan for Afghanistan 1389-1393/2010-2014 - draft (NESP II),Afghanistan,2010,"English,Dari,Pashto",National Education Plans,http://planipolis.iiep.unesco.org/en/2010/national-education-strategic-plan-afghanistan-1389-13932010-2014-draft-nesp-ii-4988,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_nesp_ii_2010-2014_draft_pashto.pdf,afghanistan_nesp_ii_2010-2014_draft_pashto.pdf,snippet_search_ok,16,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_dad1c6ad84,National Education Interim Plan 1390-1392/2011-2013 NEIP,Afghanistan,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/national-education-interim-plan-1390-13922011-2013-neip-5133,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan_neip.pdf,afghanistan_neip.pdf,snippet_search_ok,13,no_rights_signal,no_rights_signal,low,ocr_full_text,,
nep_6b127adb5f,Proposal to the Global Partnership for Education (GPE) for a catalytic contribution towards implementation of Afghanistan’s Education Interim Plan (EIP): programme document,Afghanistan,2011,English,National Education Plans,http://planipolis.iiep.unesco.org/en/2011/proposal-global-partnership-education-gpe-catalytic-contribution-towards-implementation,http://planipolis.iiep.unesco.org/sites/default/files/ressources/afghanistan-program-document.pdf,afghanistan-program-document.pdf,snippet_search_ok,14,copyright_notice,copyright_notice,low,pdf_edge_pages,"1,2,3,100,101,102",PROPOSAL TO THE GLOBAL PARTNERSHIP FOR EDUCATION (GPE) FOR A CATALYTIC CONTRIBUTION TOWARDS IMPLEMENTATION OF AFGHANISTAN’S EDUCATION INTERIM PLAN (EIP) © Sarwar Azizi – MoE PROGRAMME DOCUMENT Afghanistan GPE Program Document – September 2011 FOREWORD Increasing access to education of ever-improving quality is the single most important source of hope for sustainable peace and development in Afghanistan. There is n
